Date,Ward 1 AQI,Ward 2 AQI,Ward 3 AQI,Ward 4 AQI,Ward 5 AQI,Ward 6 AQI,Ward 7 AQI,Ward 8 AQI
2023-05-19 20:00:00,85,,8,33,38,,,17
2023-05-20 20:00:00,83,,22,69,73,,,61
2023-05-21 20:00:00,59,,31,68,75,,,62
2023-05-22 20:00:00,70,,44,85,90,,,79
2023-05-23 20:00:00,49,,22,63,68,,,52
2023-05-24 20:00:00,39,,36,46,52,,,30
2023-05-25 20:00:00,13,,6,27,33,,,8
2023-05-26 20:00:00,16,,8,22,37,,,7
2023-05-27 20:00:00,18,,6,22,31,,,5
2023-05-28 20:00:00,16,,6,27,39,,,5
2023-05-29 20:00:00,51,,61,76,79,,,64
2023-05-30 20:00:00,75,,53,99,103,,,93
2023-05-31 20:00:00,82,,60,111,118,,,103
2023-06-01 20:00:00,108,,93,126,144,,,135
2023-06-02 20:00:00,69,,64,81,86,,,72
2023-06-03 20:00:00,36,,31,51,55,,,29
2023-06-04 20:00:00,40,,26,48,54,,,34
2023-06-05 20:00:00,86,,60,93,96,,,85
2023-06-06 20:00:00,169,,153,180,181,,,175
2023-06-07 20:00:00,176,,168,217,228,,,210
2023-06-08 20:00:00,119,,99,131,137,,,125
2023-06-09 20:00:00,73,,60,89,93,,,82
2023-06-10 20:00:00,90,,45,110,129,,,101
2023-06-11 20:00:00,76,,34,87,90,,,80
2023-06-12 20:00:00,26,,14,45,52,,,23
2023-06-13 20:00:00,39,,33,56,62,,,45
2023-06-14 20:00:00,22,,12,34,40,,,15
2023-06-15 20:00:00,55,,21,71,76,,,62
2023-06-16 20:00:00,132,,47,105,105,,,96
2023-06-17 20:00:00,179,,55,98,102,,,94
2023-06-18 20:00:00,87,,51,106,109,,,99
2023-06-19 20:00:00,92,,60,102,103,,,92
2023-06-20 20:00:00,36,,22,43,46,,,24
2023-06-21 20:00:00,7,,7,14,15,,,0
2023-06-22 20:00:00,14,,13,34,37,,,14
2023-06-23 20:00:00,31,,30,46,54,,,27
2023-06-24 20:00:00,42,,11,27,36,,,11
2023-06-25 20:00:00,68,,29,73,79,,,65
2023-06-26 20:00:00,48,,11,36,44,,,17
2023-06-27 20:00:00,92,,47,110,111,,,98
2023-06-28 20:00:00,163,,80,176,176,,177,168
2023-06-29 20:00:00,153,,59,154,158,,156,151
2023-06-30 20:00:00,122,,62,136,140,,141,123
2023-07-01 20:00:00,67,,29,78,84,,76,69
2023-07-02 20:00:00,66,,19,64,70,,63,57
2023-07-03 20:00:00,48,,6,37,54,,39,24
2023-07-04 20:00:00,93,,30,86,87,,107,94
2023-07-05 20:00:00,58,,14,66,86,,77,63
2023-07-06 20:00:00,72,,15,78,91,,75,68
2023-07-07 20:00:00,70,,15,74,80,,75,70
2023-07-08 20:00:00,62,,6,62,66,,59,58
2023-07-09 20:00:00,39,,5,36,44,,35,18
2023-07-10 20:00:00,60,,7,56,61,,59,38
2023-07-11 20:00:00,66,,10,64,72,,64,64
2023-07-12 20:00:00,78,,9,80,88,,74,74
2023-07-13 20:00:00,51,,9,34,40,,29,14
2023-07-14 20:00:00,53,,7,57,62,,55,51
2023-07-15 20:00:00,41,,6,43,52,,38,20
2023-07-16 20:00:00,96,,25,70,124,,117,104
2023-07-17 20:00:00,128,,27,114,138,,133,123
2023-07-18 20:00:00,85,,13,91,93,,91,80
2023-07-19 20:00:00,83,,9,91,95,,90,84
2023-07-20 20:00:00,56,,5,56,59,,56,46
2023-07-21 20:00:00,39,,5,43,52,,42,23
2023-07-22 20:00:00,52,,6,57,72,,58,42
2023-07-23 20:00:00,62,,4,52,58,,50,33
2023-07-24 20:00:00,72,,4,60,65,,56,45
2023-07-25 20:00:00,74,,8,71,77,,66,57
2023-07-26 20:00:00,83,,10,86,92,,82,78
2023-07-27 20:00:00,73,,7,71,80,,75,74
2023-07-28 20:00:00,51,,12,54,57,,52,32
2023-07-29 20:00:00,31,,12,18,25,,18,2
2023-07-30 20:00:00,55,,19,40,50,,36,20
2023-07-31 20:00:00,47,,25,47,52,,51,25
2023-08-01 20:00:00,56,,31,57,60,,56,43
2023-08-02 20:00:00,76,,31,58,63,,55,36
2023-08-03 20:00:00,109,,56,123,85,,77,68
2023-08-04 20:00:00,151,,41,72,75,,66,59
2023-08-05 20:00:00,186,,59,87,93,,84,77
2023-08-06 20:00:00,83,,43,64,71,,64,56
2023-08-07 20:00:00,30,,20,42,48,,39,21
2023-08-08 20:00:00,53,,34,56,63,,56,37
2023-08-09 20:00:00,59,,48,70,76,,66,59
2023-08-10 20:00:00,59,,35,65,69,,63,54
2023-08-11 20:00:00,72,,49,81,103,,77,71
2023-08-12 20:00:00,59,,4,48,55,,45,33
2023-08-13 20:00:00,47,,2,51,59,,44,33
2023-08-14 20:00:00,37,,8,45,53,,41,23
2023-08-15 20:00:00,31,,0,27,23,,24,10
2023-08-16 20:00:00,38,,5,41,62,,46,28
2023-08-17 20:00:00,54,,8,53,57,,50,32
2023-08-18 20:00:00,73,,14,73,76,,73,64
2023-08-19 20:00:00,74,,5,85,91,,83,73
2023-08-20 20:00:00,81,,10,88,91,,85,80
2023-08-21 20:00:00,79,,12,79,83,,77,69
2023-08-22 20:00:00,44,,5,54,60,,58,42
2023-08-23 20:00:00,92,,3,52,59,,50,28
2023-08-24 20:00:00,137,,4,58,63,,55,41
2023-08-25 20:00:00,47,,3,53,57,,53,39
2023-08-26 20:00:00,58,,8,61,65,,58,50
2023-08-27 20:00:00,56,,6,56,61,,52,36
2023-08-28 20:00:00,27,,3,35,41,,29,13
2023-08-29 20:00:00,45,,3,53,55,,47,31
2023-08-30 20:00:00,27,,4,13,18,,15,3
2023-08-31 20:00:00,26,,2,14,19,,16,1
2023-09-01 20:00:00,21,,4,29,37,,29,7
2023-09-02 20:00:00,54,,8,53,58,,51,33
2023-09-03 20:00:00,63,,6,61,70,,63,62
2023-09-04 20:00:00,57,,8,56,65,,53,41
2023-09-05 20:00:00,66,,8,68,75,,71,62
2023-09-06 20:00:00,87,,11,86,93,,81,80
2023-09-07 20:00:00,78,,7,67,72,,67,62
2023-09-08 20:00:00,51,,8,55,62,,58,39
2023-09-09 20:00:00,24,,0,32,38,,30,6
2023-09-10 20:00:00,32,,1,33,42,,32,14
2023-09-11 20:00:00,46,,3,49,55,,50,27
2023-09-12 20:00:00,44,,2,42,44,,35,17
2023-09-13 20:00:00,29,,2,25,37,,25,5
2023-09-14 20:00:00,29,,2,26,31,,26,6
2023-09-15 20:00:00,40,,2,32,37,,39,11
2023-09-16 20:00:00,56,,4,68,76,,69,48
2023-09-17 20:00:00,47,,2,40,46,,37,17
2023-09-18 20:00:00,68,,2,49,53,,46,24
2023-09-19 20:00:00,40,,1,45,53,,52,32
2023-09-20 20:00:00,52,,5,60,66,,59,49
2023-09-21 20:00:00,35,,3,44,54,,48,23
2023-09-22 20:00:00,69,,1,16,20,,15,3
2023-09-23 20:00:00,17,,5,7,10,,5,0
2023-09-24 20:00:00,13,,1,7,9,,6,1
2023-09-25 20:00:00,29,,9,51,55,,53,35
2023-09-26 20:00:00,39,,6,58,60,,59,42
2023-09-27 20:00:00,43,,5,51,53,,52,24
2023-09-28 20:00:00,47,,8,47,51,,46,26
2023-09-29 20:00:00,21,,1,29,29,,25,10
2023-09-30 20:00:00,43,,10,51,52,,51,24
2023-10-01 20:00:00,41,,3,51,54,,58,31
2023-10-02 20:00:00,55,,4,64,69,,65,62
2023-10-03 20:00:00,78,,9,74,78,,71,62
2023-10-04 20:00:00,48,,4,56,56,,54,30
2023-10-05 20:00:00,23,,1,42,37,,28,11
2023-10-06 20:00:00,31,,1,31,34,,25,12
2023-10-07 20:00:00,28,,3,8,12,,8,0
2023-10-08 20:00:00,37,,2,15,20,,13,1
2023-10-09 20:00:00,12,,2,21,28,,19,4
2023-10-10 20:00:00,18,,3,40,49,,48,24
2023-10-11 20:00:00,19,,1,41,51,,47,22
2023-10-12 20:00:00,67,,2,40,51,,51,24
2023-10-13 20:00:00,60,,7,60,64,,52,25
2023-10-14 20:00:00,10,,5,7,9,,6,2
2023-10-15 20:00:00,6,,0,9,11,,7,1
2023-10-16 20:00:00,20,,0,12,15,,11,1
2023-10-17 20:00:00,27,,1,30,34,,35,10
2023-10-18 20:00:00,55,,5,59,61,,54,27
2023-10-19 20:00:00,66,,9,45,51,,33,20
2023-10-20 20:00:00,23,,1,32,33,,25,11
2023-10-21 20:00:00,32,,6,16,24,,18,6
2023-10-22 20:00:00,21,,1,12,15,,11,0
2023-10-23 20:00:00,20,,5,45,55,,52,22
2023-10-24 20:00:00,20,,5,48,56,,49,22
2023-10-25 20:00:00,30,,2,52,59,,49,29
2023-10-26 20:00:00,28,,8,58,63,,53,38
2023-10-27 20:00:00,36,,2,65,68,,60,55
2023-10-28 20:00:00,53,,9,74,79,,73,69
2023-10-29 20:00:00,29,,2,48,53,,38,29
2023-10-30 20:00:00,71,,2,11,15,,10,1
2023-10-31 20:00:00,19,,2,54,55,,54,21
2023-11-01 20:00:00,9,,1,28,33,,29,6
2023-11-02 20:00:00,53,,1,47,54,,42,21
2023-11-03 20:00:00,24,,3,58,67,,63,45
2023-11-04 20:00:00,59,,10,94,99,,92,78
2023-11-05 19:00:00,38,,15,71,76,,82,66
2023-11-06 19:00:00,63,,11,96,99,,89,86
2023-11-07 19:00:00,59,,0,25,30,,28,15
2023-11-08 19:00:00,34,71,3,58,60,,55,42
2023-11-09 19:00:00,23,24,9,30,36,,30,9
2023-11-10 19:00:00,14,56,3,62,59,,59,42
2023-11-11 19:00:00,26,60,7,66,70,,72,54
2023-11-12 19:00:00,42,71,5,82,82,,86,64
